
TEST:
...
                                                               |      MAE |     RMSE | Train (s) | Test (s)
WMF(K=30, learning_rate=0.001, lambda_u=0.01, lambda_v=0.01)   | 383.2833 | 495.1556 |    1.0501 |   0.0000
WMF(K=30, learning_rate=0.01, lambda_u=0.001, lambda_v=0.001)  | 373.6938 | 488.1646 |    0.9893 |   0.0103
WMF(K=30, learning_rate=0.01, lambda_u=0.001, lambda_v=0.01)   | 373.6927 | 488.1662 |    0.9831 |   0.0000
WMF(K=30, learning_rate=0.01, lambda_u=0.01, lambda_v=0.001)   | 373.7676 | 488.2658 |    0.9984 |   0.0012
WMF(K=30, learning_rate=0.01, lambda_u=0.01, lambda_v=0.01)    | 373.7760 | 488.2683 |    0.9829 |   0.0164
WMF(K=30, learning_rate=0.1, lambda_u=0.001, lambda_v=0.001)   | 380.7792 | 494.3153 |    0.9832 |   0.0166
WMF(K=30, learning_rate=0.1, lambda_u=0.001, lambda_v=0.01)    | 380.8150 | 492.8948 |    1.0502 |   0.0162
WMF(K=30, learning_rate=0.1, lambda_u=0.01, lambda_v=0.001)    | 387.0416 | 501.1782 |    1.0234 |   0.0098
WMF(K=30, learning_rate=0.1, lambda_u=0.01, lambda_v=0.01)     | 383.6425 | 496.8824 |    1.0333 |   0.0161
WMF(K=40, learning_rate=0.001, lambda_u=0.001, lambda_v=0.001) | 383.2971 | 495.1996 |    1.0500 |   0.0163
WMF(K=40, learning_rate=0.001, lambda_u=0.001, lambda_v=0.01)  | 383.2971 | 495.1996 |    1.0832 |   0.0000
WMF(K=40, learning_rate=0.001, lambda_u=0.01, lambda_v=0.001)  | 383.2971 | 495.1996 |    1.0829 |   0.0003
WMF(K=40, learning_rate=0.001, lambda_u=0.01, lambda_v=0.01)   | 383.2971 | 495.1996 |    1.0660 |   0.0165
WMF(K=40, learning_rate=0.01, lambda_u=0.001, lambda_v=0.001)  | 375.8110 | 488.4586 |    1.0501 |   0.0164
WMF(K=40, learning_rate=0.01, lambda_u=0.001, lambda_v=0.01)   | 375.8240 | 488.4727 |    1.0826 |   0.0172
WMF(K=40, learning_rate=0.01, lambda_u=0.01, lambda_v=0.001)   | 375.8553 | 488.5135 |    1.0649 |   0.0168
WMF(K=40, learning_rate=0.01, lambda_u=0.01, lambda_v=0.01)    | 375.8547 | 488.5111 |    1.0660 |   0.0000
WMF(K=40, learning_rate=0.1, lambda_u=0.001, lambda_v=0.001)   | 377.5852 | 488.0940 |    1.0553 |   0.0080
WMF(K=40, learning_rate=0.1, lambda_u=0.001, lambda_v=0.01)    | 377.4575 | 487.9553 |    1.0864 |   0.0080
WMF(K=40, learning_rate=0.1, lambda_u=0.01, lambda_v=0.001)    | 376.0925 | 486.3165 |    1.0571 |   0.0166
WMF(K=40, learning_rate=0.1, lambda_u=0.01, lambda_v=0.01)     | 376.9685 | 486.9654 |    1.0497 |   0.0000
WMF(K=50, learning_rate=0.001, lambda_u=0.001, lambda_v=0.001) | 383.2337 | 495.1166 |    1.1051 |   0.0000
WMF(K=50, learning_rate=0.001, lambda_u=0.001, lambda_v=0.01)  | 383.2337 | 495.1166 |    1.1180 |   0.0095
WMF(K=50, learning_rate=0.001, lambda_u=0.01, lambda_v=0.001)  | 383.2333 | 495.1163 |    1.0998 |   0.0000
WMF(K=50, learning_rate=0.001, lambda_u=0.01, lambda_v=0.01)   | 383.2333 | 495.1163 |    1.0994 |   0.0167
WMF(K=50, learning_rate=0.01, lambda_u=0.001, lambda_v=0.001)  | 376.5535 | 486.7388 |    1.0997 |   0.0169
WMF(K=50, learning_rate=0.01, lambda_u=0.001, lambda_v=0.01)   | 376.5209 | 486.7249 |    1.1331 |   0.0000
WMF(K=50, learning_rate=0.01, lambda_u=0.01, lambda_v=0.001)   | 376.5355 | 486.7330 |    1.1164 |   0.0000
WMF(K=50, learning_rate=0.01, lambda_u=0.01, lambda_v=0.01)    | 376.5159 | 486.7163 |    1.0839 |   0.0169
WMF(K=50, learning_rate=0.1, lambda_u=0.001, lambda_v=0.001)   | 378.8386 | 489.4018 |    1.1164 |   0.0165
WMF(K=50, learning_rate=0.1, lambda_u=0.001, lambda_v=0.01)    | 378.2773 | 490.2138 |    1.1331 |   0.0000
WMF(K=50, learning_rate=0.1, lambda_u=0.01, lambda_v=0.001)    | 376.1749 | 485.7609 |    1.1161 |   0.0000
WMF(K=50, learning_rate=0.1, lambda_u=0.01, lambda_v=0.01)     | 378.3985 | 490.9999 |    1.1171 |   0.0000
