
TEST:
...
                                                               |      MAE |     RMSE | Train (s) | Test (s)
-------------------------------------------------------------- + -------- + -------- + --------- + --------
WMF(K=10, learning_rate=0.001, lambda_u=0.001, lambda_v=0.001) | 383.4214 | 495.2623 |    0.9948 |   0.0010
WMF(K=10, learning_rate=0.001, lambda_u=0.001, lambda_v=0.01)  | 383.4214 | 495.2623 |    0.9840 |   0.0046
WMF(K=10, learning_rate=0.001, lambda_u=0.01, lambda_v=0.001)  | 383.4214 | 495.2623 |    0.9838 |   0.0000
WMF(K=10, learning_rate=0.001, lambda_u=0.01, lambda_v=0.01)   | 383.4214 | 495.2623 |    0.9953 |   0.0156
WMF(K=10, learning_rate=0.01, lambda_u=0.001, lambda_v=0.001)  | 376.6012 | 489.5276 |    0.9771 |   0.0156
WMF(K=10, learning_rate=0.01, lambda_u=0.001, lambda_v=0.01)   | 376.5999 | 489.5262 |    0.9941 |   0.0000
WMF(K=10, learning_rate=0.01, lambda_u=0.01, lambda_v=0.001)   | 376.6018 | 489.5281 |    0.9976 |   0.0000
WMF(K=10, learning_rate=0.01, lambda_u=0.01, lambda_v=0.01)    | 376.5998 | 489.5261 |    1.0138 |   0.0212
WMF(K=10, learning_rate=0.1, lambda_u=0.001, lambda_v=0.001)   | 362.4403 | 470.1366 |    0.9596 |   0.0156
WMF(K=10, learning_rate=0.1, lambda_u=0.001, lambda_v=0.01)    | 362.6617 | 471.5490 |    1.0034 |   0.0186
WMF(K=10, learning_rate=0.1, lambda_u=0.01, lambda_v=0.001)    | 365.0721 | 473.8083 |    1.0125 |   0.0000
WMF(K=10, learning_rate=0.1, lambda_u=0.01, lambda_v=0.01)     | 363.5355 | 472.3308 |    0.9830 |   0.0166
WMF(K=20, learning_rate=0.001, lambda_u=0.001, lambda_v=0.001) | 383.3652 | 495.2336 |    0.9996 |   0.0168
WMF(K=20, learning_rate=0.001, lambda_u=0.001, lambda_v=0.01)  | 383.3652 | 495.2337 |    0.9996 |   0.0000
WMF(K=20, learning_rate=0.001, lambda_u=0.01, lambda_v=0.001)  | 383.3652 | 495.2337 |    0.9997 |   0.0187
WMF(K=20, learning_rate=0.001, lambda_u=0.01, lambda_v=0.01)   | 383.3653 | 495.2337 |    0.9807 |   0.0000
WMF(K=20, learning_rate=0.01, lambda_u=0.001, lambda_v=0.001)  | 370.5727 | 483.0308 |    0.9843 |   0.0166
WMF(K=20, learning_rate=0.01, lambda_u=0.001, lambda_v=0.01)   | 370.5738 | 483.0311 |    1.0156 |   0.0085
WMF(K=20, learning_rate=0.01, lambda_u=0.01, lambda_v=0.001)   | 370.5722 | 483.0330 |    1.1754 |   0.0162
WMF(K=20, learning_rate=0.01, lambda_u=0.01, lambda_v=0.01)    | 370.5703 | 483.0313 |    1.0199 |   0.0022
WMF(K=20, learning_rate=0.1, lambda_u=0.001, lambda_v=0.001)   | 383.5700 | 497.4085 |    1.0107 |   0.0000
WMF(K=20, learning_rate=0.1, lambda_u=0.001, lambda_v=0.01)    | 384.0576 | 496.9488 |    1.0166 |   0.0166
WMF(K=20, learning_rate=0.1, lambda_u=0.01, lambda_v=0.001)    | 388.9454 | 503.8880 |    1.0165 |   0.0000
WMF(K=20, learning_rate=0.1, lambda_u=0.01, lambda_v=0.01)     | 391.1601 | 506.3729 |    1.0319 |   0.0011
WMF(K=30, learning_rate=0.001, lambda_u=0.001, lambda_v=0.001) | 383.2849 | 495.1566 |    1.0653 |   0.0010
WMF(K=30, learning_rate=0.001, lambda_u=0.001, lambda_v=0.01)  | 383.2849 | 495.1566 |    1.0331 |   0.0225
WMF(K=30, learning_rate=0.001, lambda_u=0.01, lambda_v=0.001)  | 383.2833 | 495.1556 |    1.0437 |   0.0000
