
TEST:
...
                                                               |      MAE |     RMSE | Train (s) | Test (s)
WMF(K=40, learning_rate=0.1, lambda_u=0.01, lambda_v=0.001)    | 469.5671 | 712.7821 |    1.1454 |   0.0052
WMF(K=40, learning_rate=0.1, lambda_u=0.01, lambda_v=0.01)     | 469.2278 | 712.9487 |    1.0413 |   0.0096
WMF(K=50, learning_rate=0.001, lambda_u=0.001, lambda_v=0.001) | 479.1038 | 726.0247 |    1.2296 |   0.0102
WMF(K=50, learning_rate=0.001, lambda_u=0.001, lambda_v=0.01)  | 479.1038 | 726.0247 |    1.4643 |   0.0119
WMF(K=50, learning_rate=0.001, lambda_u=0.01, lambda_v=0.001)  | 479.1038 | 726.0247 |    0.9858 |   0.0137
WMF(K=50, learning_rate=0.001, lambda_u=0.01, lambda_v=0.01)   | 479.1038 | 726.0247 |    1.1080 |   0.0071
WMF(K=50, learning_rate=0.01, lambda_u=0.001, lambda_v=0.001)  | 463.4195 | 706.3015 |    0.9674 |   0.0010
WMF(K=50, learning_rate=0.01, lambda_u=0.001, lambda_v=0.01)   | 463.4484 | 706.3276 |    1.0191 |   0.0135
WMF(K=50, learning_rate=0.01, lambda_u=0.01, lambda_v=0.001)   | 463.4567 | 706.3631 |    0.9742 |   0.0082
WMF(K=50, learning_rate=0.01, lambda_u=0.01, lambda_v=0.01)    | 463.4389 | 706.3443 |    0.9897 |   0.0090
WMF(K=50, learning_rate=0.1, lambda_u=0.001, lambda_v=0.001)   | 473.7049 | 718.6706 |    1.1184 |   0.0010
WMF(K=50, learning_rate=0.1, lambda_u=0.001, lambda_v=0.01)    | 472.9823 | 716.6742 |    1.0994 |   0.0010
WMF(K=50, learning_rate=0.1, lambda_u=0.01, lambda_v=0.001)    | 469.1577 | 714.5930 |    1.0358 |   0.0120
WMF(K=50, learning_rate=0.1, lambda_u=0.01, lambda_v=0.01)     | 470.3198 | 714.4375 |    0.9820 |   0.0010
