
TEST:
...
                                                               |     RMSE |    AUC |  F1@10 |    MAP |    MRR | NDCG@10 | NDCG@20 | NDCG@30 | Precision@10 | Recall@10 | Train (s) | Test (s)
WMF(K=30, learning_rate=0.001, lambda_u=0.001, lambda_v=0.001) | 495.1566 | 0.6730 | 0.0333 | 0.0335 | 0.0682 |  0.0390 |  0.0573 |  0.0686 |       0.0243 |    0.0717 |    0.8606 |   0.0438
WMF(K=30, learning_rate=0.001, lambda_u=0.001, lambda_v=0.01)  | 495.1566 | 0.6730 | 0.0333 | 0.0335 | 0.0679 |  0.0390 |  0.0573 |  0.0686 |       0.0243 |    0.0717 |    0.8376 |   0.0465
WMF(K=30, learning_rate=0.001, lambda_u=0.01, lambda_v=0.001)  | 495.1556 | 0.6738 | 0.0333 | 0.0335 | 0.0652 |  0.0384 |  0.0554 |  0.0683 |       0.0243 |    0.0717 |    0.8450 |   0.0410
WMF(K=30, learning_rate=0.001, lambda_u=0.01, lambda_v=0.01)   | 495.1556 | 0.6739 | 0.0333 | 0.0335 | 0.0653 |  0.0384 |  0.0554 |  0.0683 |       0.0243 |    0.0717 |    0.8686 |   0.0472
WMF(K=30, learning_rate=0.01, lambda_u=0.001, lambda_v=0.001)  | 488.1646 | 0.6377 | 0.0789 | 0.0678 | 0.1548 |  0.1049 |  0.1147 |  0.1272 |       0.0568 |    0.1598 |    0.8423 |   0.0440
WMF(K=30, learning_rate=0.01, lambda_u=0.001, lambda_v=0.01)   | 488.1662 | 0.6401 | 0.0789 | 0.0678 | 0.1546 |  0.1049 |  0.1147 |  0.1272 |       0.0568 |    0.1598 |    0.8513 |   0.0440
WMF(K=30, learning_rate=0.01, lambda_u=0.01, lambda_v=0.001)   | 488.2658 | 0.6377 | 0.0789 | 0.0685 | 0.1581 |  0.1056 |  0.1154 |  0.1279 |       0.0568 |    0.1598 |    0.9338 |   0.0471
WMF(K=30, learning_rate=0.01, lambda_u=0.01, lambda_v=0.01)    | 488.2683 | 0.6349 | 0.0789 | 0.0684 | 0.1574 |  0.1056 |  0.1154 |  0.1279 |       0.0568 |    0.1598 |    0.9006 |   0.0406
WMF(K=30, learning_rate=0.1, lambda_u=0.001, lambda_v=0.001)   | 494.3153 | 0.5752 | 0.0786 | 0.0984 | 0.2145 |  0.1380 |  0.1504 |  0.1700 |       0.0541 |    0.1719 |    0.8944 |   0.0529
WMF(K=30, learning_rate=0.1, lambda_u=0.001, lambda_v=0.01)    | 492.8948 | 0.5640 | 0.0626 | 0.0822 | 0.1804 |  0.1138 |  0.1192 |  0.1370 |       0.0432 |    0.1395 |    0.8522 |   0.0395
WMF(K=30, learning_rate=0.1, lambda_u=0.01, lambda_v=0.001)    | 501.1782 | 0.5253 | 0.0590 | 0.0738 | 0.1594 |  0.1007 |  0.1247 |  0.1247 |       0.0405 |    0.1311 |    0.8886 |   0.0440
WMF(K=30, learning_rate=0.1, lambda_u=0.01, lambda_v=0.01)     | 496.8824 | 0.5326 | 0.0637 | 0.0773 | 0.1720 |  0.1097 |  0.1262 |  0.1318 |       0.0432 |    0.1438 |    0.8544 |   0.0460
WMF(K=40, learning_rate=0.001, lambda_u=0.001, lambda_v=0.001) | 495.1996 | 0.6194 | 0.0159 | 0.0234 | 0.0354 |  0.0198 |  0.0297 |  0.0441 |       0.0108 |    0.0333 |    0.8524 |   0.0430
