
TEST:
...
                                                               |     RMSE |    AUC |  F1@10 |    MAP |    MRR | NDCG@10 | NDCG@20 | NDCG@30 | Precision@10 | Recall@10 | Train (s) | Test (s)
-------------------------------------------------------------- + -------- + ------ + ------ + ------ + ------ + ------- + ------- + ------- + ------------ + --------- + --------- + --------
WMF(K=10, learning_rate=0.001, lambda_u=0.001, lambda_v=0.001) | 495.2623 | 0.4633 | 0.0039 | 0.0109 | 0.0157 |  0.0038 |  0.0132 |  0.0190 |       0.0027 |    0.0068 |    0.8593 |   0.0501
WMF(K=10, learning_rate=0.001, lambda_u=0.001, lambda_v=0.01)  | 495.2623 | 0.4633 | 0.0039 | 0.0109 | 0.0155 |  0.0038 |  0.0132 |  0.0190 |       0.0027 |    0.0068 |    0.8293 |   0.0467
WMF(K=10, learning_rate=0.001, lambda_u=0.01, lambda_v=0.001)  | 495.2623 | 0.4633 | 0.0039 | 0.0109 | 0.0156 |  0.0038 |  0.0132 |  0.0190 |       0.0027 |    0.0068 |    0.8020 |   0.0531
WMF(K=10, learning_rate=0.001, lambda_u=0.01, lambda_v=0.01)   | 495.2623 | 0.4632 | 0.0039 | 0.0109 | 0.0160 |  0.0038 |  0.0132 |  0.0190 |       0.0027 |    0.0068 |    0.8378 |   0.0399
WMF(K=10, learning_rate=0.01, lambda_u=0.001, lambda_v=0.001)  | 489.5276 | 0.5771 | 0.0034 | 0.0202 | 0.0315 |  0.0041 |  0.0293 |  0.0492 |       0.0027 |    0.0045 |    0.8839 |   0.0430
WMF(K=10, learning_rate=0.01, lambda_u=0.001, lambda_v=0.01)   | 489.5262 | 0.5773 | 0.0034 | 0.0202 | 0.0310 |  0.0041 |  0.0293 |  0.0492 |       0.0027 |    0.0045 |    0.8535 |   0.0422
WMF(K=10, learning_rate=0.01, lambda_u=0.01, lambda_v=0.001)   | 489.5281 | 0.5773 | 0.0034 | 0.0202 | 0.0313 |  0.0041 |  0.0293 |  0.0492 |       0.0027 |    0.0045 |    0.8853 |   0.0438
WMF(K=10, learning_rate=0.01, lambda_u=0.01, lambda_v=0.01)    | 489.5261 | 0.5771 | 0.0034 | 0.0202 | 0.0317 |  0.0041 |  0.0293 |  0.0492 |       0.0027 |    0.0045 |    0.8931 |   0.0450
WMF(K=10, learning_rate=0.1, lambda_u=0.001, lambda_v=0.001)   | 470.1366 | 0.6567 | 0.0426 | 0.0492 | 0.0924 |  0.0571 |  0.0905 |  0.0975 |       0.0297 |    0.0859 |    0.8341 |   0.0415
WMF(K=10, learning_rate=0.1, lambda_u=0.001, lambda_v=0.01)    | 471.5490 | 0.6298 | 0.0470 | 0.0496 | 0.0922 |  0.0625 |  0.0849 |  0.0927 |       0.0324 |    0.0956 |    0.9012 |   0.0429
WMF(K=10, learning_rate=0.1, lambda_u=0.01, lambda_v=0.001)    | 473.8083 | 0.6190 | 0.0423 | 0.0451 | 0.0775 |  0.0512 |  0.0862 |  0.0981 |       0.0297 |    0.0837 |    0.8450 |   0.0420
WMF(K=10, learning_rate=0.1, lambda_u=0.01, lambda_v=0.01)     | 472.3308 | 0.6560 | 0.0436 | 0.0438 | 0.0758 |  0.0526 |  0.0807 |  0.0911 |       0.0297 |    0.0911 |    0.7807 |   0.0415
WMF(K=20, learning_rate=0.001, lambda_u=0.001, lambda_v=0.001) | 495.2336 | 0.5797 | 0.0230 | 0.0231 | 0.0665 |  0.0289 |  0.0490 |  0.0565 |       0.0162 |    0.0487 |    0.8375 |   0.0431
WMF(K=20, learning_rate=0.001, lambda_u=0.001, lambda_v=0.01)  | 495.2337 | 0.5798 | 0.0230 | 0.0231 | 0.0676 |  0.0289 |  0.0490 |  0.0566 |       0.0162 |    0.0487 |    0.8350 |   0.0408
WMF(K=20, learning_rate=0.001, lambda_u=0.01, lambda_v=0.001)  | 495.2337 | 0.5802 | 0.0230 | 0.0231 | 0.0672 |  0.0289 |  0.0490 |  0.0566 |       0.0162 |    0.0487 |    0.8561 |   0.0527
WMF(K=20, learning_rate=0.001, lambda_u=0.01, lambda_v=0.01)   | 495.2337 | 0.5802 | 0.0230 | 0.0231 | 0.0672 |  0.0289 |  0.0490 |  0.0566 |       0.0162 |    0.0487 |    0.8126 |   0.0421
WMF(K=20, learning_rate=0.01, lambda_u=0.001, lambda_v=0.001)  | 483.0308 | 0.6907 | 0.0575 | 0.0531 | 0.0947 |  0.0706 |  0.0939 |  0.1139 |       0.0405 |    0.1228 |    0.8736 |   0.0486
WMF(K=20, learning_rate=0.01, lambda_u=0.001, lambda_v=0.01)   | 483.0311 | 0.6916 | 0.0575 | 0.0533 | 0.0943 |  0.0706 |  0.0939 |  0.1195 |       0.0405 |    0.1228 |    0.8335 |   0.0420
WMF(K=20, learning_rate=0.01, lambda_u=0.01, lambda_v=0.001)   | 483.0330 | 0.6904 | 0.0575 | 0.0530 | 0.0947 |  0.0706 |  0.0939 |  0.1138 |       0.0405 |    0.1228 |    0.8416 |   0.0411
WMF(K=20, learning_rate=0.01, lambda_u=0.01, lambda_v=0.01)    | 483.0313 | 0.6907 | 0.0575 | 0.0530 | 0.0944 |  0.0706 |  0.0939 |  0.1138 |       0.0405 |    0.1228 |    0.9211 |   0.0565
WMF(K=20, learning_rate=0.1, lambda_u=0.001, lambda_v=0.001)   | 497.4085 | 0.5676 | 0.0349 | 0.0478 | 0.1052 |  0.0560 |  0.0774 |  0.0933 |       0.0243 |    0.0724 |    0.9267 |   0.0470
WMF(K=20, learning_rate=0.1, lambda_u=0.001, lambda_v=0.01)    | 496.9488 | 0.6130 | 0.0493 | 0.0639 | 0.1427 |  0.0874 |  0.1103 |  0.1129 |       0.0324 |    0.1370 |    0.9631 |   0.0427
WMF(K=20, learning_rate=0.1, lambda_u=0.01, lambda_v=0.001)    | 503.8880 | 0.5301 | 0.0441 | 0.0394 | 0.0791 |  0.0581 |  0.0640 |  0.0773 |       0.0297 |    0.0973 |    0.9417 |   0.0429
WMF(K=20, learning_rate=0.1, lambda_u=0.01, lambda_v=0.01)     | 506.3729 | 0.6090 | 0.0395 | 0.0422 | 0.0920 |  0.0549 |  0.0667 |  0.0824 |       0.0270 |    0.0800 |    1.0004 |   0.0630
WMF(K=30, learning_rate=0.001, lambda_u=0.001, lambda_v=0.001) | 495.1566 | 0.6730 | 0.0333 | 0.0335 | 0.0682 |  0.0390 |  0.0573 |  0.0686 |       0.0243 |    0.0717 |    1.0052 |   0.0485
WMF(K=30, learning_rate=0.001, lambda_u=0.001, lambda_v=0.01)  | 495.1566 | 0.6730 | 0.0333 | 0.0335 | 0.0679 |  0.0390 |  0.0573 |  0.0686 |       0.0243 |    0.0717 |    0.9211 |   0.0455
WMF(K=30, learning_rate=0.001, lambda_u=0.01, lambda_v=0.001)  | 495.1556 | 0.6738 | 0.0333 | 0.0335 | 0.0652 |  0.0384 |  0.0554 |  0.0683 |       0.0243 |    0.0717 |    0.8871 |   0.0436
WMF(K=30, learning_rate=0.001, lambda_u=0.01, lambda_v=0.01)   | 495.1556 | 0.6739 | 0.0333 | 0.0335 | 0.0653 |  0.0384 |  0.0554 |  0.0683 |       0.0243 |    0.0717 |    0.9368 |   0.0445
WMF(K=30, learning_rate=0.01, lambda_u=0.001, lambda_v=0.001)  | 488.1646 | 0.6377 | 0.0789 | 0.0678 | 0.1548 |  0.1049 |  0.1147 |  0.1272 |       0.0568 |    0.1598 |    0.8847 |   0.0418
WMF(K=30, learning_rate=0.01, lambda_u=0.001, lambda_v=0.01)   | 488.1662 | 0.6401 | 0.0789 | 0.0678 | 0.1546 |  0.1049 |  0.1147 |  0.1272 |       0.0568 |    0.1598 |    0.8752 |   0.0476
WMF(K=30, learning_rate=0.01, lambda_u=0.01, lambda_v=0.001)   | 488.2658 | 0.6377 | 0.0789 | 0.0685 | 0.1581 |  0.1056 |  0.1154 |  0.1279 |       0.0568 |    0.1598 |    0.8471 |   0.0450
WMF(K=30, learning_rate=0.01, lambda_u=0.01, lambda_v=0.01)    | 488.2683 | 0.6349 | 0.0789 | 0.0684 | 0.1574 |  0.1056 |  0.1154 |  0.1279 |       0.0568 |    0.1598 |    0.8780 |   0.0419
WMF(K=30, learning_rate=0.1, lambda_u=0.001, lambda_v=0.001)   | 494.3153 | 0.5752 | 0.0786 | 0.0984 | 0.2145 |  0.1380 |  0.1504 |  0.1700 |       0.0541 |    0.1719 |    0.8969 |   0.0436
WMF(K=30, learning_rate=0.1, lambda_u=0.001, lambda_v=0.01)    | 492.8948 | 0.5640 | 0.0626 | 0.0822 | 0.1804 |  0.1138 |  0.1192 |  0.1370 |       0.0432 |    0.1395 |    0.9329 |   0.0500
WMF(K=30, learning_rate=0.1, lambda_u=0.01, lambda_v=0.001)    | 501.1782 | 0.5253 | 0.0590 | 0.0738 | 0.1594 |  0.1007 |  0.1247 |  0.1247 |       0.0405 |    0.1311 |    0.8836 |   0.0465
WMF(K=30, learning_rate=0.1, lambda_u=0.01, lambda_v=0.01)     | 496.8824 | 0.5326 | 0.0637 | 0.0773 | 0.1720 |  0.1097 |  0.1262 |  0.1318 |       0.0432 |    0.1438 |    0.8913 |   0.0410
WMF(K=40, learning_rate=0.001, lambda_u=0.001, lambda_v=0.001) | 495.1996 | 0.6194 | 0.0159 | 0.0234 | 0.0354 |  0.0198 |  0.0297 |  0.0441 |       0.0108 |    0.0333 |    0.8967 |   0.0441
WMF(K=40, learning_rate=0.001, lambda_u=0.001, lambda_v=0.01)  | 495.1996 | 0.6192 | 0.0159 | 0.0234 | 0.0356 |  0.0198 |  0.0297 |  0.0441 |       0.0108 |    0.0333 |    0.8933 |   0.0407
WMF(K=40, learning_rate=0.001, lambda_u=0.01, lambda_v=0.001)  | 495.1996 | 0.6195 | 0.0159 | 0.0239 | 0.0369 |  0.0205 |  0.0304 |  0.0448 |       0.0108 |    0.0333 |    0.8887 |   0.0470
WMF(K=40, learning_rate=0.001, lambda_u=0.01, lambda_v=0.01)   | 495.1996 | 0.6193 | 0.0159 | 0.0239 | 0.0369 |  0.0205 |  0.0304 |  0.0447 |       0.0108 |    0.0333 |    0.8899 |   0.0451
WMF(K=40, learning_rate=0.01, lambda_u=0.001, lambda_v=0.001)  | 488.4586 | 0.6143 | 0.0548 | 0.0683 | 0.1329 |  0.0893 |  0.0952 |  0.1131 |       0.0378 |    0.1113 |    0.8697 |   0.0578
WMF(K=40, learning_rate=0.01, lambda_u=0.001, lambda_v=0.01)   | 488.4727 | 0.6168 | 0.0548 | 0.0682 | 0.1323 |  0.0893 |  0.0952 |  0.1131 |       0.0378 |    0.1113 |    0.8602 |   0.0417
WMF(K=40, learning_rate=0.01, lambda_u=0.01, lambda_v=0.001)   | 488.5135 | 0.6215 | 0.0548 | 0.0685 | 0.1321 |  0.0893 |  0.0952 |  0.1149 |       0.0378 |    0.1113 |    0.8428 |   0.0442
WMF(K=40, learning_rate=0.01, lambda_u=0.01, lambda_v=0.01)    | 488.5111 | 0.6194 | 0.0548 | 0.0685 | 0.1325 |  0.0893 |  0.0952 |  0.1148 |       0.0378 |    0.1113 |    0.8648 |   0.0438
WMF(K=40, learning_rate=0.1, lambda_u=0.001, lambda_v=0.001)   | 488.0940 | 0.4278 | 0.0503 | 0.0479 | 0.1132 |  0.0755 |  0.0784 |  0.0852 |       0.0351 |    0.1012 |    0.8879 |   0.0413
WMF(K=40, learning_rate=0.1, lambda_u=0.001, lambda_v=0.01)    | 487.9553 | 0.4304 | 0.0432 | 0.0355 | 0.0805 |  0.0589 |  0.0630 |  0.0645 |       0.0297 |    0.0906 |    0.8930 |   0.0490
WMF(K=40, learning_rate=0.1, lambda_u=0.01, lambda_v=0.001)    | 486.3165 | 0.4750 | 0.0510 | 0.0667 | 0.1800 |  0.0959 |  0.1046 |  0.1060 |       0.0351 |    0.1025 |    0.8917 |   0.0395
WMF(K=40, learning_rate=0.1, lambda_u=0.01, lambda_v=0.01)     | 486.9654 | 0.4641 | 0.0594 | 0.0743 | 0.1718 |  0.1047 |  0.1140 |  0.1140 |       0.0405 |    0.1219 |    0.8878 |   0.0411
WMF(K=50, learning_rate=0.001, lambda_u=0.001, lambda_v=0.001) | 495.1166 | 0.5979 | 0.0248 | 0.0328 | 0.0593 |  0.0397 |  0.0601 |  0.0667 |       0.0162 |    0.0784 |    0.9230 |   0.0459
WMF(K=50, learning_rate=0.001, lambda_u=0.001, lambda_v=0.01)  | 495.1166 | 0.5979 | 0.0248 | 0.0328 | 0.0589 |  0.0397 |  0.0601 |  0.0667 |       0.0162 |    0.0784 |    0.9352 |   0.0480
WMF(K=50, learning_rate=0.001, lambda_u=0.01, lambda_v=0.001)  | 495.1163 | 0.5982 | 0.0248 | 0.0328 | 0.0587 |  0.0397 |  0.0601 |  0.0667 |       0.0162 |    0.0784 |    0.9169 |   0.0420
WMF(K=50, learning_rate=0.001, lambda_u=0.01, lambda_v=0.01)   | 495.1163 | 0.5981 | 0.0248 | 0.0328 | 0.0588 |  0.0397 |  0.0601 |  0.0667 |       0.0162 |    0.0784 |    0.8858 |   0.0450
WMF(K=50, learning_rate=0.01, lambda_u=0.001, lambda_v=0.001)  | 486.7388 | 0.5718 | 0.0492 | 0.0455 | 0.0906 |  0.0606 |  0.0780 |  0.0934 |       0.0351 |    0.0911 |    0.8834 |   0.0425
WMF(K=50, learning_rate=0.01, lambda_u=0.001, lambda_v=0.01)   | 486.7249 | 0.5751 | 0.0492 | 0.0456 | 0.0901 |  0.0606 |  0.0780 |  0.0915 |       0.0351 |    0.0911 |    0.9253 |   0.0454
WMF(K=50, learning_rate=0.01, lambda_u=0.01, lambda_v=0.001)   | 486.7330 | 0.5788 | 0.0534 | 0.0455 | 0.0907 |  0.0642 |  0.0782 |  0.0898 |       0.0378 |    0.1001 |    0.9050 |   0.0450
WMF(K=50, learning_rate=0.01, lambda_u=0.01, lambda_v=0.01)    | 486.7163 | 0.5769 | 0.0534 | 0.0457 | 0.0901 |  0.0642 |  0.0782 |  0.0917 |       0.0378 |    0.1001 |    0.8913 |   0.0430
WMF(K=50, learning_rate=0.1, lambda_u=0.001, lambda_v=0.001)   | 489.4018 | 0.5188 | 0.0436 | 0.0528 | 0.1308 |  0.0744 |  0.0859 |  0.0959 |       0.0297 |    0.0920 |    0.8930 |   0.0415
WMF(K=50, learning_rate=0.1, lambda_u=0.001, lambda_v=0.01)    | 490.2138 | 0.4924 | 0.0578 | 0.0640 | 0.1599 |  0.0970 |  0.1006 |  0.1129 |       0.0405 |    0.1246 |    0.9054 |   0.0447
WMF(K=50, learning_rate=0.1, lambda_u=0.01, lambda_v=0.001)    | 485.7609 | 0.4972 | 0.0506 | 0.0505 | 0.1265 |  0.0778 |  0.0868 |  0.0895 |       0.0351 |    0.1019 |    0.8980 |   0.0505
WMF(K=50, learning_rate=0.1, lambda_u=0.01, lambda_v=0.01)     | 490.9999 | 0.5205 | 0.0511 | 0.0465 | 0.0908 |  0.0715 |  0.0764 |  0.0834 |       0.0351 |    0.1176 |    0.8573 |   0.0475
